Pred_common,Prey_Name_Clean,Len_bin,NStomachs,Percent_Occur,Percent_Weight
Pacific halibut,Echinodermata,"(60,80]",6,0.23,0.01
Arrowtooth flounder,Chionoecetes sp.,"(20,40]",1,0.02,0.01
Arrowtooth flounder,Agonidae,"(40,60]",3,0.06,0.01
Pacific cod,Amphipoda,"(40,60]",20,0.37,0.01
Pacific cod,Ctenophora sp.,"(60,80]",1,0.03,0.01
Arrowtooth flounder,Anomura,"(40,60]",6,0.12,0.01
Pacific cod,Non-teleost fish,"(60,80]",1,0.03,0.01
Pacific halibut,Crangonidae,"(80,280]",8,0.72,0.01
Walleye pollock,Mollusca,"(40,60]",10,0.14,0.01
Arrowtooth flounder,Hippoglossus stenolepis,"(20,40]",2,0.04,0.01
Arrowtooth flounder,Bivalvia,"(20,40]",5,0.11,0.01
Walleye pollock,Agonidae,"(40,60]",4,0.06,0.01
Pacific cod,Echinodea,"(80,280]",1,0.53,0.01
Walleye pollock,Pleurogrammus monopterygius,"(40,60]",1,0.01,0.01
Walleye pollock,Chionoecetes bairdi,"(20,40]",7,0.29,0.01
Walleye pollock,Unid Eggs,"(20,40]",1,0.04,0.01
Arrowtooth flounder,Gastropod,"(20,40]",1,0.02,0.01
Pacific halibut,Mollusca,"(80,280]",5,0.45,0.01
Arrowtooth flounder,Brachyura,"(40,60]",10,0.21,0.01
Pacific halibut,Trichodon trichodon,"(40,60]",1,0.04,0.01
Pacific cod,Myctophidae,"(60,80]",1,0.03,0.01
Arrowtooth flounder,Cephalopoda,"(0,20]",1,0.12,0.01
Arrowtooth flounder,Bivalvia,"(40,60]",11,0.23,0.01
Pacific halibut,Decapoda,"(0,20]",1,1.14,0.01
Pacific halibut,Lepidopsetta polyxystra,"(40,60]",1,0.04,0.01
Arrowtooth flounder,Bivalvia,"(60,80]",5,0.82,0
Arrowtooth flounder,Lepidopsetta bilineata,"(0,20]",1,0.12,0
Pacific halibut,Echinodea,"(40,60]",3,0.12,0
Walleye pollock,Non-teleost fish,"(40,60]",1,0.01,0
Pacific halibut,Crustacea,"(80,280]",4,0.36,0
Arrowtooth flounder,Majidae,"(40,60]",1,0.02,0
Pacific halibut,Fish Eggs,"(60,80]",2,0.08,0
Pacific halibut,Hippolytidae,"(80,280]",6,0.54,0
Pacific halibut,Chionoecetes opilio,"(80,280]",1,0.09,0
Arrowtooth flounder,Non-teleost fish,"(40,60]",2,0.04,0
Arrowtooth flounder,Isopoda,"(40,60]",5,0.1,0
Pacific cod,Aves,"(40,60]",3,0.06,0
Pacific cod,Liminda aspera,"(40,60]",1,0.02,0
Pacific cod,Ctenophora sp.,"(20,40]",1,0.06,0
Arrowtooth flounder,Copepoda,"(40,60]",16,0.33,0
Pacific cod,Clypeasteroida,"(60,80]",2,0.07,0
Walleye pollock,Ophiurida,"(20,40]",2,0.08,0
Pacific halibut,Echinodermata,"(40,60]",2,0.08,0
Pacific halibut,Crustacea,"(60,80]",3,0.12,0
Pacific halibut,Anoplopoma fimbria,"(80,280]",1,0.09,0
Pacific halibut,Holothuroidea,"(60,80]",1,0.04,0
Walleye pollock,Caprellidae,"(20,40]",3,0.12,0
Pacific cod,Sebastolobus sp.,"(40,60]",1,0.02,0
Walleye pollock,Unid Eggs,"(40,60]",7,0.1,0
Pacific halibut,Myctophidae,"(80,280]",1,0.09,0
Arrowtooth flounder,Cumacea,"(60,80]",1,0.16,0
Arrowtooth flounder,Invertebrate,"(20,40]",3,0.07,0
Arrowtooth flounder,Paguridae,"(20,40]",2,0.04,0
Arrowtooth flounder,Crustacea,"(40,60]",18,0.37,0
Arrowtooth flounder,Hippolytidae,"(60,80]",1,0.16,0
Walleye pollock,Gadus macrocephalus,"(60,80]",2,0.25,0
Pacific halibut,Holothuroidea,"(80,280]",1,0.09,0
Arrowtooth flounder,Invertebrate,"(40,60]",5,0.1,0
Pacific cod,Hippoglossus stenolepis,"(60,80]",3,0.1,0
Walleye pollock,Caprellidae,"(40,60]",4,0.06,0
Pacific halibut,Tunicata,"(80,280]",1,0.09,0
Pacific halibut,Unid Eggs,"(60,80]",3,0.12,0
Arrowtooth flounder,Echinodermata,"(40,60]",2,0.04,0
Arrowtooth flounder,Thecosomata,"(20,40]",7,0.15,0
Pacific halibut,Caprellidae,"(40,60]",2,0.08,0
Pacific halibut,Hyperiidea,"(40,60]",2,0.08,0
Walleye pollock,Octopoda,"(20,40]",1,0.04,0
Pacific cod,Appendicularia,"(60,80]",2,0.07,0
Arrowtooth flounder,Cnidaria,"(20,40]",1,0.02,0
Walleye pollock,Chionoecetes bairdi,"(0,20]",2,0.11,0
Arrowtooth flounder,Unid Eggs,"(20,40]",3,0.07,0
Walleye pollock,Invertebrate,"(40,60]",7,0.1,0
Pacific cod,Cumacea,"(60,80]",3,0.1,0
Arrowtooth flounder,Polychaeta,"(60,80]",3,0.49,0
Pacific halibut,Gammaridea,"(80,280]",6,0.54,0
Walleye pollock,Clypeasteroida,"(40,60]",1,0.01,0
Pacific cod,Hippoglossus stenolepis,"(40,60]",3,0.06,0
Pacific cod,Thecosomata,"(60,80]",5,0.16,0
Arrowtooth flounder,Hyperiidea,"(40,60]",21,0.44,0
Pacific cod,Lepidopsetta polyxystra,"(60,80]",1,0.03,0
Pacific halibut,Copepoda,"(20,40]",2,0.17,0
Walleye pollock,Hippoglossus stenolepis,"(40,60]",1,0.01,0
Pacific cod,Salmonidae,"(60,80]",1,0.03,0
Arrowtooth flounder,Cumacea,"(20,40]",5,0.11,0
Walleye pollock,Reinhardtius hippoglossoides,"(60,80]",1,0.12,0
Walleye pollock,Chionoecetes sp.,"(40,60]",3,0.04,0
Walleye pollock,Mollusca,"(0,20]",1,0.06,0
Arrowtooth flounder,Gastropod,"(60,80]",2,0.33,0
Pacific cod,Macrouridae,"(60,80]",1,0.03,0
Pacific cod,Chionoecetes sp.,"(0,20]",1,0.27,0
Walleye pollock,Gastropod,"(0,20]",1,0.06,0
Arrowtooth flounder,Chionoecetes sp.,"(40,60]",1,0.02,0
Arrowtooth flounder,Gammaridea,"(60,80]",2,0.33,0
Walleye pollock,Lithodidae,"(0,20]",2,0.11,0
Walleye pollock,Invertebrate,"(0,20]",1,0.06,0
Walleye pollock,Caprellidae,"(0,20]",1,0.06,0
Arrowtooth flounder,Isopoda,"(20,40]",1,0.02,0
Pacific halibut,Isopoda,"(80,280]",3,0.27,0
Arrowtooth flounder,Cumacea,"(0,20]",1,0.12,0
Walleye pollock,Majidae,"(20,40]",2,0.08,0
Arrowtooth flounder,Chaetognatha,"(40,60]",6,0.12,0
Pacific halibut,Clypeasteroida,"(40,60]",1,0.04,0
Pacific halibut,Agonidae,"(80,280]",1,0.09,0
Walleye pollock,Chionoecetes bairdi,"(60,80]",2,0.25,0
Walleye pollock,Bathylagidae,"(40,60]",2,0.03,0
Arrowtooth flounder,Paguridae,"(40,60]",4,0.08,0
Walleye pollock,Majidae,"(60,80]",2,0.25,0
Walleye pollock,Non-teleost fish,"(20,40]",1,0.04,0
Pacific cod,Hexagrammidae,"(40,60]",1,0.02,0
Pacific cod,Chaetognatha,"(60,80]",1,0.03,0
Arrowtooth flounder,Appendicularia,"(40,60]",2,0.04,0
Pacific cod,Decapoda,"(60,80]",3,0.1,0
Pacific cod,Caprellidae,"(60,80]",4,0.13,0
Arrowtooth flounder,Cnidaria,"(40,60]",1,0.02,0
Pacific cod,Amphipoda,"(60,80]",2,0.07,0
Walleye pollock,Lepidopsetta bilineata,"(40,60]",1,0.01,0
Pacific halibut,Appendicularia,"(40,60]",1,0.04,0
Pacific cod,Non-teleost fish,"(40,60]",1,0.02,0
Pacific halibut,Ophiurida,"(20,40]",1,0.08,0
Arrowtooth flounder,Brachyura,"(60,80]",1,0.16,0
Walleye pollock,Aves,"(40,60]",1,0.01,0
Pacific cod,Isopoda,"(80,280]",1,0.53,0
Arrowtooth flounder,Invertebrate,"(60,80]",2,0.33,0
Walleye pollock,Echinodermata,"(20,40]",1,0.04,0
Pacific cod,Clypeasteroida,"(40,60]",1,0.02,0
Pacific halibut,Hyperiidea,"(80,280]",1,0.09,0
Walleye pollock,Echinodea,"(40,60]",2,0.03,0
Walleye pollock,Bivalvia,"(0,20]",1,0.06,0
Arrowtooth flounder,Annelida,"(40,60]",1,0.02,0
Walleye pollock,Non-teleost fish,"(60,80]",1,0.12,0
Pacific cod,Chaetognatha,"(40,60]",2,0.04,0
Pacific halibut,Mysidacea,"(60,80]",2,0.08,0
Walleye pollock,Fish Eggs,"(20,40]",2,0.08,0
Walleye pollock,Fish Eggs,"(40,60]",6,0.09,0
Arrowtooth flounder,Crustacea,"(60,80]",1,0.16,0
Pacific halibut,Amphipoda,"(40,60]",1,0.04,0
Walleye pollock,Decapoda,"(60,80]",1,0.12,0
Walleye pollock,Lithodidae,"(40,60]",2,0.03,0
Pacific cod,Mollusca,"(80,280]",1,0.53,0
Arrowtooth flounder,Cumacea,"(40,60]",2,0.04,0
Arrowtooth flounder,Caprellidae,"(40,60]",1,0.02,0
Pacific halibut,Appendicularia,"(60,80]",1,0.04,0
Arrowtooth flounder,Thecosomata,"(40,60]",1,0.02,0
Walleye pollock,Ophiurida,"(60,80]",1,0.12,0
Pacific halibut,Copepoda,"(40,60]",1,0.04,0
Pacific cod,Ophiurida,"(80,280]",1,0.53,0
Pacific halibut,Mysidacea,"(80,280]",1,0.09,0
Walleye pollock,Ophiurida,"(40,60]",1,0.01,0
